5.331	15,7	6.901	20,4	129,45	0,56
562	16,2	687	19,7	122,24	0,56
7.032	20,3	4.715	13,6	67,05	0,51
1.215	15,7	1.610	20,8	132,51	0,57
3.420	18,9	3.047	16,9	89,09	0,56
1.135	19,5	1.016	17,4	89,52	0,58
433	14,4	744	24,8	171,82	0,64
7.077	19,8	4.993	14,0	70,55	0,51
1.117	20,3	741	13,4	66,34	0,51
583	14,9	866	22,1	148,54	0,59
794	20,0	507	12,8	63,85	0,49
2.746	17,7	2.763	17,8	100,62	0,55
617	15,2	927	22,9	150,24	0,62
3.823	21,7	1.995	11,3	52,18	0,49
461	12,5	933	25,2	202,39	0,60
4.263	18,0	3.908	16,5	91,67	0,53
813	16,5	540	11,0	66,42	0,38
681	21,8	465	14,9	68,28	0,58
37.981	16,7	35.492	15,6	93,45	0,48
8.176	21,2	3.867	10,0	47,30	0,45
898	15,7	1.162	20,3	129,40	0,56
11.382	16,6	11.581	16,9	101,75	0,50
901	19,2	736	15,7	81,69	0,54
9.653	17,3	9.958	17,8	103,16	0,54
4.806	20,2	3.390	14,2	70,54	0,52
1.332	20,9	872	13,7	65,47	0,53
698	17,9	625	16,0	89,54	0,51
6.748	19,0	5.405	15,2	80,10	0,52
644	15,3	963	22,8	149,53	0,61
5.345	21,7	3.376	13,7	63,16	0,55
4.814	24,2	1.870	9,4	38,85	0,51
31.517	16,8	31.995	17,0	101,52	0,51
6.103	19,8	4.582	14,8	75,08	0,53
948	17,5	897	16,6	94,62	0,52
1.180	19,2	938	15,3	79,49	0,53
478	19,3	399	16,1	83,47	0,55
37.122	16,7	36.376	16,3	97,99	0,49
22.073	17,3	19.176	15,0	86,88	0,48
304	16,5	379	20,6	124,67	0,59
1.359	16,8	1.660	20,5	122,15	0,59
829	21,9	510	13,5	61,52	0,55
2.361	22,0	1.158	10,8	49,05	0,49
1.676	18,4	1.357	14,9	80,97	0,50
9.794	19,5	5.954	11,8	60,79	0,46
18.784	22,0	9.181	10,8	48,88	0,49
270	15,2	372	20,9	137,78	0,57
17.434	17,5	16.539	16,6	94,87	0,52
26.887	19,8	19.866	14,6	73,89	0,52
2.275	15,8	2.614	18,1	114,90	0,51
1.003	19,3	774	14,9	77,17	0,52
2.323	19,6	1.380	11,6	59,41	0,45
16.484	19,1	13.122	15,2	79,60	0,52
2.709	17,0	2.272	14,3	83,87	0,46
247	6,7	283	7,7	114,57	0,17
1.325	15,7	1.599	19,0	120,68	0,53
2.102	20,0	1.745	16,6	83,02	0,58
661	20,0	576	17,4	87,14	0,60
1.441	20,4	1.032	14,6	71,62	0,54
6.011	18,0	5.592	16,8	93,03	0,53
5.526	15,8	5.995	17,1	108,49	0,49
1.238	22,8	733	13,5	59,21	0,57
1.858	24,2	1.217	15,9	65,50	0,67
20.578	17,7	18.566	15,9	90,22	0,51
7.098	22,8	2.876	9,2	40,52	0,47
60.518	23,5	25.100	9,7	41,48	0,50
3.914	19,3	3.208	15,8	81,96	0,54
10.421	17,6	9.754	16,5	93,60	0,52
63.950	17,8	56.360	15,7	88,13	0,50
12.939	17,4	12.650	17,0	97,77	0,52
543	18,9	414	14,4	76,24	0,50
1.999	18,5	2.061	19,1	103,10	0,60
14.238	24,3	5.411	9,2	38,00	0,50
1.141	15,0	1.394	18,3	122,17	0,50
19.914	16,9	17.803	15,1	89,40	0,47
6.748	21,6	4.040	13,0	59,87	0,53
2.961	20,7	1.836	12,8	62,01	0,50
2.224	18,9	1.668	14,2	75,00	0,49
2.138	20,1	1.795	16,9	83,96	0,59
10.992	20,1	6.560	12,0	59,68	0,47
4.688	20,4	2.659	11,6	56,72	0,47
973	25,8	366	9,7	37,62	0,55
136	16,8	109	13,5	80,15	0,43
936	20,3	681	14,8	72,76	0,54
2.603	17,2	2.566	17,0	98,58	0,52
530	21,2	323	12,9	60,94	0,52
25.557	18,6	21.298	15,5	83,34	0,52
29.280	18,4	23.367	14,7	79,81	0,49
933	17,3	951	17,6	101,93	0,54
467	17,2	418	15,4	89,51	0,48
4.219	18,2	3.350	14,5	79,40	0,48
4.531	19,5	3.400	14,6	75,04	0,52
4.860	25,2	2.332	12,1	47,98	0,59
2.869	17,6	2.696	16,6	93,97	0,52
752	17,8	755	17,8	100,40	0,55
851	19,7	633	14,7	74,38	0,52
10.434	22,2	4.659	9,9	44,65	0,47
17.586	19,7	12.719	14,2	72,32	0,51
6.035	19,1	4.848	15,3	80,33	0,52
3.628	19,3	3.214	17,1	88,59	0,57
3.166	18,6	2.901	17,0	91,63	0,55
741	18,1	725	17,7	97,84	0,56
19.764	20,5	10.207	10,6	51,64	0,45
912	16,8	897	16,5	98,36	0,50
16.635	22,6	6.473	8,8	38,91	0,46
6.861	23,9	3.579	12,5	52,16	0,57
1.660	16,6	1.683	16,8	101,39	0,50
5.115	20,5	3.549	14,2	69,38	0,53
