760.632	18.192	34	0,79	79	12,40	17,91	15,61	252.903	86,42	95,47
257.366	5.800	42	0,14	54	11,99	16,60	17,27	83.022	83,77	91,85
596.095	17.938	35	0,39	104	12,36	18,69	15,27	190.407	84,93	93,12
991.217	11.093	78	0,64	177	12,63	19,14	14,23	320.496	92,01	99,00
509.660	11.899	47	0,45	70	13,07	20,36	15,01	161.182	82,00	92,19
1.749.343	2.420	1069	1,38	1107	15,26	21,46	13,86	547.142	99,58	56,98
428.877	8.343	53	0,60	77	12,27	18,47	14,78	139.750	92,19	97,84
1.090.979	16.209	62	0,53	110	12,61	18,59	14,92	352.389	86,66	96,57
293.585	6.384	45	1,04	141	13,78	20,60	14,36	95.115	79,61	94,88
4.341.501	9.147	556	1,61	728	13,65	19,23	13,20	1.374.696	87,94	79,85
11.581.798	1.521	7614	0,59	32132	15,40	19,49	13,51	3.574.286	99,10	92,26
429.664	11.418	32	-0,01	101	11,39	16,05	19,60	147.822	81,55	96,73
732.997	10.330	64	0,72	45	12,88	20,27	13,78	233.836	89,63	98,23
2.627.158	829	5444	0,67	1083	13,75	19,11	13,06	821.797	99,76	87,62
1.534.847	2.521	1989	1,26	468	15,05	22,06	11,12	458.164	89,57	75,27
1.849.391	1.504	1707	1,64	492	16,39	22,02	9,50	572.973	86,38	68,35
2.849.958	2.026	3701	1,39	1053	17,40	22,60	9,80	856.566	97,97	62,30
332.716	12.810	23	0,14	241	14,99	23,07	12,96	105.192	62,61	80,42
733.593	14.274	39	0,25	74	12,71	18,78	16,03	241.130	86,06	97,61
792.991	8.105	94	0,36	123	11,91	18,31	15,47	252.440	86,38	96,70
1.493.675	9.842	153	1,12	214	13,09	19,15	13,86	462.849	89,72	96,54
1.327.006	9.301	129	1,04	363	12,83	19,76	13,18	399.071	91,55	98,14
1.061.116	14.024	72	0,97	148	12,32	17,93	15,55	344.965	89,57	97,03
2.026.402	13.597	195	1,15	419	13,90	20,49	12,68	600.843	78,27	82,56
2.383.470	16.563	134	0,69	286	12,97	20,27	13,78	709.449	78,67	80,78
270518	12132,72	31	0,174285714	207	14,31571429	23,04	14,45214286	85094	69,11928571	73,27857143
